SEQ=2284 | IR=6303 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2285 | IR=6308 | MOV=0.024 | MPU=OK | BLE=CONECTADO
SEQ=2286 | IR=6309 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2287 | IR=6311 | MOV=0.015 | MPU=OK | BLE=CONECTADO
SEQ=2288 | IR=6304 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2289 | IR=6304 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2290 | IR=6297 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2291 | IR=6310 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2292 | IR=6306 | MOV=0.015 | MPU=OK | BLE=CONECTADO
SEQ=2293 | IR=6285 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2294 | IR=6312 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2295 | IR=6301 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2296 | IR=6306 | MOV=0.024 | MPU=OK | BLE=CONECTADO
SEQ=2297 | IR=6299 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2298 | IR=6306 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2299 | IR=6311 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2300 | IR=6307 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2301 | IR=6311 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2302 | IR=6302 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2303 | IR=6307 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2304 | IR=6311 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2305 | IR=6302 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2306 | IR=6307 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2307 | IR=6309 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2308 | IR=6300 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2309 | IR=6293 | MOV=0.013 | MPU=OK | BLE=CONECTADO
SEQ=2310 | IR=6293 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2311 | IR=6306 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2312 | IR=6308 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2313 | IR=6297 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2314 | IR=6285 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2315 | IR=6297 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2316 | IR=6299 | MOV=0.024 | MPU=OK | BLE=CONECTADO
SEQ=2317 | IR=6308 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2318 | IR=6301 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2319 | IR=6320 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2320 | IR=6301 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2321 | IR=6294 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2322 | IR=6321 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2323 | IR=6303 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2324 | IR=6309 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2325 | IR=6313 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2326 | IR=6301 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2327 | IR=6307 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2328 | IR=6315 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2329 | IR=6302 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2330 | IR=6306 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2331 | IR=6309 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2332 | IR=6310 | MOV=0.024 | MPU=OK | BLE=CONECTADO
SEQ=2333 | IR=6303 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2334 | IR=6314 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2335 | IR=6298 | MOV=0.021 | MPU=OK | BLE=CONECTADO
